"Pesquisador_Responsável","Pesquisadores_Associados","Pesquisadores_Principais","Cidade","Instituições_no_Exterior","Área_do_Conhecimento","Data_de_Início","Data_de_Término"
"Caetano Padial Sabino","Aguinaldo Silva Garcez Segundo - Cleber Ferraresi - Fabio Celidonio Pogliani - Fábio Parra Sellera - Ilka Tiemy Kato Prates - João Paulo Tardivo - Laura Marise de Freitas - Martha Simões Ribeiro - Mauricio da Silva Baptista - Niklaus Ursus Wetter - Nilton Erbet Lincopan Huenuman - Nivaldo Antonio Parizotto - Renato Araujo Prates - Rodrigo Crespo Mosca - Rosangela Itri - Selly Sayuri Suzuki - Silvia Cristina Núñez","Arthur Padial Nogueira, Henrique Forlani Masini, José Tort Vidal, Ricardo Marques da Silva Martins Guimarães, Thiago Maximino de Menezes Passos","São Paulo","","Engenharia Biomédica","3/1/2019","1/31/2020"
"Isabela Lauletta Modesto","","","São Paulo","","Ciência da Computação","3/1/2019","2/29/2020"
"Isabela Lauletta Modesto","","","São Paulo","","Ciência da Computação","3/1/2019","2/29/2020"
"Bárbara Mirelli de Melo e Castro","Angel Pontin Garcia - Claudio Kiyoshi Umezu","Andrei Grespan","Campinas","","","3/1/2019","3/31/2020"
"Deivy Wilson Masso","Felippe José Pavinatto - Hernane da Silva Barud","","Araraquara","","","3/1/2019","11/30/2019"
"Gabriel Gustinelli Arantes de Carvalho","","","São Paulo","","Química","3/1/2019","2/29/2020"
"Francisco José Benevenuto","","","Pirassununga","","Engenharia Elétrica","3/1/2019","11/30/2019"
"Oswaldo Urbani Filho","","","São Carlos","","Engenharia Mecânica","3/1/2019","3/31/2020"
"Erick Butler Poletto","","Eduardo Alves da Cunha, Santiago Kraiselburd","São Paulo","","Ciência da Computação","3/1/2019","11/30/2019"
"Guilherme de Almeida Costa","Renato Wihby Girotto - Thiago Magalhães Zampieri","Mariana Silveira Bonora","Indaiatuba","","Agronomia","3/1/2019","11/30/2019"
"Raphael Garcia Moreira","Eduardo Lorenzetti Pellini - Samuel Katsuyuki Shinjo","","São Paulo","","Engenharia Biomédica","3/1/2019","11/30/2019"
"Douglas Carlos Vilela","","José Silvério Edmundo Germano","São José dos Campos","","Engenharia Mecânica","3/1/2019","11/30/2019"
"Igor Guerrero","","Alex Monteiro Sartin, Anderson Rodrigo dos Santos, Henrique Cunha Pazelli, Hernande Carlos Bueno Previato, Priscila França Guidini","São Carlos","","Engenharia Aeroespacial","3/1/2019","2/28/2022"
"Antonio Carlos Oliveira Júnior","Ana Maria Frattini Fileti - Thiago Ragozo Contim","Anderson Fraiha Machado","Sorocaba","","Engenharia Sanitária","3/1/2019","8/31/2020"
"Alex Humberto Calori","Luis Felipe Villani Purquerio - Thiago Leandro Factor","","Mococa","","Agronomia","3/1/2019","10/31/2021"
