"Pesquisador_Responsável","Pesquisadores_Associados","Pesquisadores_Principais","Cidade","Instituições_no_Exterior","Área_do_Conhecimento","Data_de_Início","Data_de_Término"
"José Fernando Ribeiro de Castro","","","São Carlos","","Engenharia de Materiais e Metalúrgica","12/1/2011","11/30/2013"
"Carolina Afonso Pinto","","","Cotia","","Ciência da Computação","12/1/2011","5/31/2013"
"Pedro Henrique Borges de Almeida","","","Campinas","","Ciência da Computação","12/1/2011","11/30/2013"
"Roberval Stefani","","","São Paulo","","Química","11/1/2011","10/31/2013"
"Ebert Seixas Hanna","","","Ribeirão Preto","","Bioquímica","11/1/2011","7/31/2012"
"Reinaldo Alvarenga Bergamaschi","","","Campinas","","Ciência da Computação","10/1/2011","6/30/2012"
"Heliara Dalva Lopes do Nascimento","","","Campinas","","Química","10/1/2011","6/30/2012"
"Cynthia Rachid Bydlowski","","","São Paulo","","Medicina Veterinária","9/1/2011","8/31/2013"
"Andresa Aparecida Berretta e Silva","","","Ribeirão Preto","","Farmácia","9/1/2011","6/30/2012"
"José Elizeu Benigno Ramos","","","São Carlos","","Física","9/1/2011","8/31/2014"
"José Kleber da Cunha Pinto","","","São Paulo","","Engenharia Elétrica","9/1/2011","5/31/2012"
"Gilberto Fuzaro","","","Piracicaba","","Engenharia Mecânica","8/1/2011","6/30/2014"
"André Luis Ogando Paraense","","","Campinas","","Ciência da Computação","8/1/2011","7/31/2012"
"Fernanda Alvarez Rojas","","","Campinas","","Biologia Geral","8/1/2011","7/31/2013"
"Aline Zorzetto Lopes Gonçalves Prado","","","Mirassol","","Microbiologia","8/1/2011","7/31/2013"
"Geocris Rodrigues dos Santos","","","São Carlos","","Engenharia de Materiais e Metalúrgica","8/1/2011","4/30/2012"
"Silvana Vargas da Silva Goissis","","","São Carlos","","Engenharia de Materiais e Metalúrgica","8/1/2011","4/30/2012"
"Daniel Temponi Lebre","","","São Paulo","","Química","8/1/2011","7/31/2013"
"Willian Bucker Moraes","","","Botucatu","","Agronomia","8/1/2011","4/30/2012"
"Leandro de Santis Ferreira","","","Ribeirão Preto","","Farmácia","7/1/2011","6/30/2013"
"Wilton José Fleming","","","São José dos Campos","","Engenharia Elétrica","7/1/2011","5/31/2012"
"Carla Maria Nascimento Polo da Fonseca","","","Valinhos","","Química","6/1/2011","3/31/2012"
"Cynthia Regina Ferrari","","","São Carlos","","Engenharia de Materiais e Metalúrgica","6/1/2011","4/30/2012"
"Sebastião Vagner Arêdes","","","São José dos Campos","","Engenharia Biomédica","5/1/2011","4/30/2013"
"Salvator Licco Haim","","","São Paulo","","Engenharia de Materiais e Metalúrgica","5/1/2011","1/31/2012"
"Eloisa Aparecida Mocheuti Kronka","","","Ribeirão Preto","","Química","5/1/2011","4/30/2013"
"Bergson Fogaça de Oliveira","","","Campinas","","Farmácia","5/1/2011","4/30/2013"
"Maria Carolina Braga Tuma","","","São Paulo","","Imunologia","5/1/2011","10/31/2013"
"Taíla Andrade Lemos","","","Paulínia","","Bioquímica","5/1/2011","7/31/2013"
"Gezimar Donizetti de Souza","","","São Carlos","","Química","5/1/2011","5/31/2013"
"Marcella Lomba Nicastro","","","São Paulo","","Ciência da Computação","5/1/2011","4/30/2014"
"Rogério Márcio Rykovsky","","","São Paulo","","Engenharia Agrícola","5/1/2011","4/30/2013"
"PAULO EDUARDO SILVEIRA","","","São Carlos","","Engenharia Elétrica","4/1/2011","5/31/2013"
"Oscar Bahia Filho","","","São Carlos","","Química","4/1/2011","3/31/2013"
"Nínive Aguiar Colonello Frattini","","","Ribeirão Preto","","Bioquímica","4/1/2011","3/31/2013"
"Nelis Evangelista Luiz","","","São Paulo","","Engenharia de Produção","3/1/2011","2/28/2013"
"Adílson Walter Chinatto Júnior","","","Campinas","","Engenharia Elétrica","3/1/2011","8/31/2013"
"Marcelo Del Guerra","","","São Carlos","","Engenharia Mecânica","3/1/2011","2/28/2013"
"Maria Luiza Cruzera Montanari","","","São Carlos","","Química","3/1/2011","11/30/2011"
"Paulo Roberto Pesquero","","","Campinas","","Biofísica","2/1/2011","6/30/2014"
"Frederico de Almeida Lage Filho","","","São Paulo","","Engenharia Biomédica","2/1/2011","1/31/2013"
"Marcos Massi","","","São José dos Campos","","Engenharia Aeroespacial","2/1/2011","1/31/2014"
"Matthias Rudolf Brust","","","São José dos Campos","","Ciência da Computação","2/1/2011","10/31/2011"
"Fellipe Saldanha Garcia","","","Campinas","","Engenharia Elétrica","2/1/2011","10/31/2011"
"Patricia de Oliveira Carminati","","","Ribeirão Preto","","Microbiologia","1/1/2011","9/30/2011"
"Debora Colombi","","","Botucatu","","Genética","1/1/2011","12/31/2012"
"Adriano Stefani Rubini","","","Botucatu","","Genética","1/1/2011","9/30/2011"
"Paulo Roberto Chiarolanza Vilela","","","Piracicaba","","Engenharia Elétrica","1/1/2011","11/30/2011"
"Antonio Cesar Ferreira","","","Cajobi","","Engenharia Elétrica","12/1/2010","10/31/2011"
"José Caruso Gomes","","","Campinas","","Engenharia de Produção","12/1/2010","5/31/2011"
"Marília Wellichan Mancini","","","São Carlos","","Engenharia Biomédica","11/1/2010","10/31/2012"
"Henrique Jesus Quintino de Oliveira","","","Mogi das Cruzes","","Engenharia Biomédica","11/1/2010","10/31/2012"
"Thiago Wellington Joazeiro de Almeida","","","Ribeirão Preto","","Engenharia Biomédica","11/1/2010","9/30/2011"
"Nilson Borlina Maia","","","Votuporanga","","Medicina","10/1/2010","6/30/2011"
"Jussara Bertho Fantinatti","","","São Paulo","","Engenharia Agrícola","10/1/2010","7/31/2011"
"Tatsuo Suzuki","","","São Paulo","","Engenharia Biomédica","10/1/2010","9/30/2012"
"Arline Maria Melo","","","Campinas","","Engenharia Elétrica","10/1/2010","9/30/2012"
"Bruno Teixeira de Abreu","","","Indaiatuba","","Ciência da Computação","9/1/2010","2/28/2011"
"Agnaldo de Souza Gonçalves","","","Campinas","","Química","9/1/2010","5/31/2011"
"Uilian de Andreis","","","Botucatu","","Engenharia Biomédica","9/1/2010","2/29/2012"
"Edson Adriano Vendrusculo","","","São Paulo","","Engenharia Elétrica","9/1/2010","8/31/2012"
"Gabriel Inacio de Morais Honorato de Souza","","","Mogi das Cruzes","","Microbiologia","9/1/2010","8/31/2012"
"Igor Bittencourt Santiago","","","Campinas","","Engenharia Elétrica","9/1/2010","8/31/2012"
"Il Young Ahn","","","São Paulo","","Bioquímica","9/1/2010","5/31/2011"
"Camila Alves Areda","","","Ribeirão Preto","","Farmácia","9/1/2010","5/31/2011"
"Benjamin Grossman","","","São Paulo","","Engenharia Elétrica","8/1/2010","11/30/2013"
"Hermann Gonçalves Marx","","","São Paulo","","Engenharia Mecânica","8/1/2010","4/30/2011"
"Maurício Marques de Oliveira","","","Mogi das Cruzes","","Engenharia Biomédica","8/1/2010","10/31/2012"
"Wataru Ueda","","","São Paulo","","Engenharia Biomédica","8/1/2010","7/31/2012"
"Beatriz Coelho Pamplona","","","Cotia","","Odontologia","7/1/2010","9/30/2011"
"Marcio Toma","","","São Paulo","","Engenharia Elétrica","7/1/2010","6/30/2013"
"Antonio Carlos da Cruz","","","São Paulo","","Engenharia de Materiais e Metalúrgica","7/1/2010","3/31/2013"
"Augusto Antônio Bronhara","","","Campinas","","Agronomia","7/1/2010","12/31/2011"
"José Carlos Carneiro","","","Sorocaba","","Engenharia Mecânica","7/1/2010","4/30/2011"
"Henrique Vianna de Amorim","","","Piracicaba","","Ciência e Tecnologia de Alimentos","6/1/2010","5/31/2012"
"Monica Cristina Salvagnini","","","São Carlos","","Química","6/1/2010","11/30/2010"
"Celio Costa Vaz","","","São José dos Campos","COM DEV International","Engenharia Aeroespacial","6/1/2010","8/31/2012"
"Juliana Garcia Carvalho Pupatto","","","Botucatu","","Agronomia","6/1/2010","2/28/2011"
"Carlos Alberto Flávio Correa","","","São Carlos","Casco Inc","Engenharia de Materiais e Metalúrgica","6/1/2010","6/30/2013"
"Jose Alberto Torrico Altuna","","","Campinas","","Engenharia Elétrica","6/1/2010","11/30/2010"
"Mariangela de Burgos Martins de Azevedo","","","São Paulo","","Química","5/1/2010","1/31/2011"
"Francine Campagnari Guilhem","","","Araçatuba","","Medicina Veterinária","5/1/2010","4/30/2011"
"Claudio Adriano Policastro","","","São Carlos","","Ciência da Computação","5/1/2010","4/30/2012"
"Maria Cristina Rocha Belderrain","","","São Paulo","","Engenharia de Transportes","5/1/2010","10/31/2010"
"Paulo Alberto Paes Gomes","","","Mogi das Cruzes","","Engenharia Biomédica","4/1/2010","12/31/2010"
"Alexandre Rodrigues da Silva","","","Charqueada","","Economia","4/1/2010","3/31/2012"
"Nicola Getschko","","","São Paulo","","Engenharia de Produção","4/1/2010","12/31/2010"
"Gustavo Ferreira Cardoso de Sá","","","Campinas","","Ciência da Computação","4/1/2010","12/31/2010"
"Christiane Martins de Lanna Salles Carvalho","","","Ribeirão Preto","","Farmácia","2/1/2010","10/31/2010"
"Regina de Oliveira Moraes Arruda","","","Campinas","","Ciência e Tecnologia de Alimentos","2/1/2010","7/31/2012"
"Oswaldo José Danella Junior","","","São Carlos","","Engenharia de Materiais e Metalúrgica","1/1/2010","9/30/2010"
"Felipe Fuser Pommorsky","","","Bragança Paulista","","Microbiologia","1/1/2010","6/30/2010"
"Maria Carolina Braga Tuma","","","São Paulo","","Imunologia","1/1/2010","6/30/2010"
"Kíria Serranegra de Arruda","","","Araraquara","","Química","1/1/2010","12/31/2011"
"Miriam de Faria Lemos","","","São Paulo","","Microbiologia","1/1/2010","9/30/2010"
"Carlos Eduardo Netto","","","Mococa","","Engenharia de Produção","1/1/2010","7/31/2010"
"André Luis Ogando Paraense","","","Campinas","","Ciência da Computação","1/1/2010","9/30/2010"
"Fábio Monaro Engelmann","","","São Caetano do Sul","","Química","1/1/2010","12/31/2011"
"Gustavo Figueira de Paula","Aline de Oliveira Garcia - Ednaldo José Ferreira - Ernesto Chaves Pereira de Souza - Sherlan Guimarães Lemos - Tiago Silva Mendonça - Washington Luiz de Barros Melo","","São Carlos","","Ciência e Tecnologia de Alimentos","12/1/2009","5/31/2010"
"Arismar Cerqueira Sodré Junior","Marcelo Luís Francisco Abbade - Omar Carvalho Branquinho","","Campinas","","Engenharia Elétrica","12/1/2009","5/31/2010"
"Carmem Maldonado Peres","","","São Paulo","","Nutrição","12/1/2009","5/31/2012"
"Samuel Lopes Lima","","","São Roque","","Ciência e Tecnologia de Alimentos","12/1/2009","8/31/2010"
"Toru Miyagi Kinjo","","","São Paulo","","Engenharia Biomédica","12/1/2009","8/31/2010"
"Wagner Utiel Silva","","","São Carlos","","Educação","12/1/2009","8/31/2010"
"Jose Miraglia","","","São Paulo","","Engenharia Aeroespacial","12/1/2009","11/30/2011"
"Aline Piccoli Otalara","","","Rio Claro","","Educação","11/1/2009","12/31/2011"
"Melchior Antonio Momesso","","","Piracaia","","Física","11/1/2009","10/31/2011"
"Guilherme Ribeiro Gray","","","Campinas","","Engenharia Agrícola","11/1/2009","4/30/2010"
"Sandra Aparecida Cororato dos Santos","","","Campinas","","Bioquímica","11/1/2009","6/30/2010"
"Daniel Temponi Lebre","","","São Paulo","","Química","11/1/2009","4/30/2010"
"Daniella Regina Mulinari","","","Mogi das Cruzes","","Engenharia de Materiais e Metalúrgica","11/1/2009","7/31/2010"
"Emy Niyama","","","São Paulo","","Imunologia","10/1/2009","3/31/2010"
"Valdir Furlanetto","","","São Paulo","","Engenharia Mecânica","10/1/2009","3/31/2010"
"Vladimir Emiliano Moreira Rocha","","","São Paulo","","Ciência da Computação","10/1/2009","6/30/2010"
"Roberval Stefani","","","São Paulo","","Engenharia Química","10/1/2009","3/31/2010"
"Bruno Barberi Gnecco","","","Itapecerica da Serra","","Ciência da Computação","10/1/2009","3/31/2010"
"Ailton Yoshinori Tanaka","","","São Carlos","","Engenharia Elétrica","9/1/2009","2/28/2010"
"Sebastião Roberto dos Santos","","","Mococa","","Engenharia Mecânica","9/1/2009","11/30/2011"
"Sergio Moraes Aoki","","","São José do Rio Preto","","Medicina Veterinária","9/1/2009","2/28/2010"
"George Batschinski","","","São José dos Campos","","Ciência da Computação","9/1/2009","8/31/2011"
"Marco Antônio Fumagalli","","","Mogi das Cruzes","","Engenharia Elétrica","9/1/2009","6/30/2010"
"Daniel Carlos Ferreira Lanza","","","São Paulo","","Genética","9/1/2009","8/31/2011"
"Samanta Rafaela de Omena-Loske","","","São José dos Campos","","Engenharia Química","9/1/2009","5/31/2010"
"Fernando Martins Tavares","Antonio Batista Filho - José Eduardo Marcondes de Almeida - Luís Garrigós Leite","","São Paulo","","Agronomia","9/1/2009","4/30/2010"
"Ildefonso Félix de Faria Júnior","","","Campinas","","Engenharia Elétrica","9/1/2009","8/31/2011"
"Rodrigo Facchini Magnani","","","São Carlos","","Química","8/1/2009","1/31/2010"
"Sizue Ota Rogero","","","Campinas","","Engenharia de Materiais e Metalúrgica","8/1/2009","1/31/2010"
"Roberta Baptista Rodrigues","","","São Paulo","","Engenharia Sanitária","8/1/2009","1/31/2012"
"Maria Fátima do Nascimento","","","São Carlos","","Recursos Florestais e Engenharia Florestal","8/1/2009","4/30/2010"
"Jarbas Caiado de Castro Neto","","","São Carlos","","Física","8/1/2009","7/31/2011"
"Rodrigo Vitorio Alonso","","","Patrocínio Paulista","","Medicina Veterinária","8/1/2009","10/31/2011"
"Jose Ulisses Jansen","","","São Paulo","","Engenharia de Materiais e Metalúrgica","8/1/2009","1/31/2010"
"Luís Antonio Peroni","","","Campinas","","Imunologia","8/1/2009","7/31/2011"
"Pedro Mikahil Neto","","","Campinas","","Medicina","8/1/2009","7/31/2011"
"Pedro Henrique Borges de Almeida","","","Campinas","","Ciência da Computação","8/1/2009","1/31/2010"
"Giovana Furquim","","","Botucatu","","Engenharia Sanitária","8/1/2009","1/31/2010"
"Nelis Evangelista Luiz","","","São Paulo","","Engenharia de Produção","8/1/2009","3/31/2010"
"Shirley Cosin","","","Guarulhos","","Engenharia de Materiais e Metalúrgica","8/1/2009","1/31/2010"
"Vitor Marcel Faça","","","Ribeirão Preto","","Bioquímica","8/1/2009","7/31/2011"
"Leandro de Santis Ferreira","","","Ribeirão Preto","","Farmácia","8/1/2009","1/31/2010"
"Fabiano Vieira Vilhena","","","São José dos Campos","","Odontologia","7/1/2009","9/30/2011"
"Hebert Luis Rossetto","","","São Carlos","","Engenharia de Materiais e Metalúrgica","7/1/2009","6/30/2011"
"Jose Ricardo Portillo Navas","","","Campinas","","Ciência da Computação","7/1/2009","12/31/2009"
"Ivanildo Hespanhol","","","São Paulo","","Engenharia Sanitária","7/1/2009","7/31/2010"
"Daniel Tamassia Minozzi","","","São Carlos","","Engenharia de Materiais e Metalúrgica","7/1/2009","12/31/2009"
"Ismael Pereira Chagas","","","Campinas","","Química","7/1/2009","6/30/2011"
"Kleber Teraoka","","","Campinas","","Ciência da Computação","7/1/2009","6/30/2011"
"Alexandre Cestari","","","Monte Alto","","Química","7/1/2009","12/31/2009"
"Jefferson Garcia Franca","","","São Paulo","","Engenharia Biomédica","7/1/2009","12/31/2009"
"Debora Colombi","","","Botucatu","","Genética","7/1/2009","12/31/2009"
"Gilberto Vicente Concilio","","","Cajamar","","Engenharia de Materiais e Metalúrgica","6/1/2009","3/31/2010"
"Alexandre Ignacio Barboza","","","São Paulo","","Engenharia Elétrica","6/1/2009","5/31/2011"
"Paulo Henrique Pires","","","São Paulo","","Fonoaudiologia","6/1/2009","4/30/2010"
"Ana Claudia Oliveira Carreira Nishiyama","Celio Lopes Silva - Jeanne Blanco de Molfetta - Marcos Angelo Almeida Demasi - Mari Cleide Sogayar - Tatiane Maldonado Coelho","","São Paulo","","Bioquímica","6/1/2009","5/31/2011"
"Henrique de Moraes Borges de Carvalho","","","Campinas","","Engenharia Biomédica","6/1/2009","9/30/2011"
"Fredy Joao Valente","","","São Carlos","","Saúde Coletiva","6/1/2009","5/31/2011"
"Sandra Rodrigues Pereira Faça","Celio Lopes Silva - Daniela Maria Tomazela - Fabio Cícero de Sá Galetti - Vitor Marcel Faça","","Ribeirão Preto","","Bioquímica","6/1/2009","11/30/2009"
"Jaqueline Costa Martins","","","São Carlos","","Engenharia Mecânica","6/1/2009","5/31/2011"
"Paulo Roberto Tavares","","","Campinas","","Ciência da Computação","6/1/2009","11/30/2009"
"Nelson Eduardo Duran Caballero","","","Paulínia","","Microbiologia","6/1/2009","5/31/2010"
"Henrique Jesus Quintino de Oliveira","Jair Ribeiro Chagas - Maurício Marques de Oliveira - Paulo Alberto Paes Gomes","","Mogi das Cruzes","","Engenharia Biomédica","6/1/2009","11/30/2009"
"Andrea Sterman Heimann","","","Cotia","","Farmacologia","6/1/2009","11/30/2009"
"Cecília Nogueira","","","Sorocaba","","Química","5/1/2009","10/31/2009"
"Marcos Renato Rodrigues Araujo","Fábio Violaro - Gustavo Ferreira Cardoso de Sá - Jugurta Rosa Montalvao Filho - Luis Mariano del Val Cura - Pascual Jovino Figueroa Rivero","","Campinas","","Ciência da Computação","5/1/2009","4/30/2011"
"Igor Bittencourt Santiago","","","Campinas","","Engenharia Elétrica","5/1/2009","10/31/2009"
"Renato Luis Tame Parreira","","","Ribeirão Preto","","Bioquímica","5/1/2009","10/31/2009"
"Maurício Marques de Oliveira","Ivarne Luis dos Santos Tersariol - Paulo Alberto Paes Gomes","","Mogi das Cruzes","","Engenharia Biomédica","5/1/2009","10/31/2009"
"Gustavo de Campos Dieamant","","","Sorocaba","","Farmacologia","5/1/2009","2/28/2010"
"Hernane da Silva Barud","","","Ribeirão Preto","","Farmácia","5/1/2009","10/31/2009"
"Camila Cristina Machado da Silva","","","Pirassununga","","Zootecnia","5/1/2009","10/31/2009"
"Gezimar Donizetti de Souza","","","São Carlos","","Química","4/1/2009","9/30/2009"
"Álvaro de Baptista Neto","","","Ribeirão Preto","","Engenharia Química","4/1/2009","5/31/2011"
"Edson Minoru Kubo","","","São Paulo","","Engenharia de Produção","4/1/2009","3/31/2011"
"José Carlos Borges","","","Ribeirão Preto","","Engenharia Biomédica","4/1/2009","12/31/2009"
"Enrico Jardim Clemente Santos","","","São Paulo","","Genética","4/1/2009","9/30/2009"
"Jose Roberto Rogero","","","São Paulo","","Engenharia de Materiais e Metalúrgica","3/1/2009","8/31/2009"
"Flávio de Almeida e Silva","","","São Paulo","","Ciência da Computação","3/1/2009","8/31/2009"
"Leonardo Marquez Pedro","","","Ariranha","","Engenharia Elétrica","3/1/2009","8/31/2009"
"Osvaldo Gogliano Sobrinho","","","São Paulo","","Engenharia Civil","3/1/2009","8/31/2009"
"Adílson Walter Chinatto Júnior","","","Campinas","","Engenharia Elétrica","3/1/2009","8/31/2009"
"Marília Wellichan Mancini","","","São Carlos","","Engenharia Biomédica","3/1/2009","10/31/2009"
"Alessandra de Almeida Lucas","","","São Carlos","","Engenharia de Materiais e Metalúrgica","2/1/2009","9/30/2009"
"Giovani Amianti","","","São Carlos","","Engenharia Aeroespacial","2/1/2009","7/31/2009"
"Ana Lúcia Mendes Cruz Silvestre da Silva","","","Campinas","","Engenharia Elétrica","2/1/2009","7/31/2009"
"Jayr de Amorim Filho","","","São José dos Campos","","Engenharia Elétrica","1/1/2009","9/30/2009"
"Viktor Koldaev","","","São José dos Campos","","Engenharia Aeroespacial","1/1/2009","6/30/2009"
"Milton Oscar Szente","","","São Paulo","","Engenharia de Materiais e Metalúrgica","1/1/2009","8/31/2009"
"Caio Augustus Morais Bolzani","","","São Paulo","","Engenharia Elétrica","1/1/2009","6/30/2009"
"Carlos Hakio Fucatu","","","São Paulo","","Engenharia Naval e Oceânica","12/1/2008","7/31/2009"
"Luis Alberto Vieira de Carvalho","","","São Carlos","","Engenharia Biomédica","12/1/2008","4/30/2010"
"Sergio Mascarenhas Oliveira","","","São Carlos","","Engenharia Biomédica","12/1/2008","2/28/2011"
"João Pedro Zimmermann","","","Socorro","","Química","12/1/2008","5/31/2009"
"Maria de Lurdes","","","Campinas","","Ciência e Tecnologia de Alimentos","12/1/2008","9/30/2009"
"Luis Fernando Bettio Galli","","","São Carlos","","Engenharia de Transportes","12/1/2008","11/30/2010"
"Hernan Romero Cossio","","","São Carlos","","Engenharia de Materiais e Metalúrgica","12/1/2008","7/31/2009"
"Julio Cesar Bastos Fernandes","","","Campinas","","Engenharia Elétrica","12/1/2008","5/31/2009"
"Afonso Emidio de Vasconcelos Lopes","","","São Paulo","","Geociências","12/1/2008","5/31/2009"
"Jonatan Ricardo Catai","","","São Carlos","","Química","12/1/2008","11/30/2010"
"Silvio Vaz Junior","","","São Carlos","","Engenharia Química","11/1/2008","4/30/2009"
"José Roberto Garbin","","","São Carlos","","Engenharia de Materiais e Metalúrgica","11/1/2008","4/30/2009"
"Walter Israel Rojas Cabrera","","","Indaiatuba","","Odontologia","11/1/2008","7/31/2009"
"Claudemir Marcos da Silva","","","São José dos Campos","","Engenharia Elétrica","11/1/2008","8/31/2009"
"Ricardo Tavares de Araújo","","","Araraquara","","Química","11/1/2008","6/30/2009"
"Celio Costa Vaz","","","São José dos Campos","","Engenharia Aeroespacial","11/1/2008","4/30/2009"
"Edson Adriano Vendrusculo","","","Campinas","","Engenharia Elétrica","11/1/2008","4/30/2009"
"Carlos Eduardo Bacchi","","","Botucatu","","Medicina","11/1/2008","10/31/2010"
"Casuê Nakanishi","","","São Paulo","","Engenharia Sanitária","11/1/2008","4/30/2009"
"Grazieli Luiza Costa Carosio","Oscar Mauricio Hernandez Rodriguez - Paulo Seleghim Júnior","","Sertãozinho","","Engenharia Mecânica","11/1/2008","12/31/2009"
"Dalton Matsuo Tavares","","","Ribeirão Preto","","Engenharia de Transportes","10/1/2008","3/31/2009"
"Wataru Ueda","","","São Paulo","","Engenharia Biomédica","10/1/2008","4/30/2009"
"Eduardo Benevolo Lugao","","","São Paulo","","Engenharia Elétrica","10/1/2008","5/31/2009"
"Gilberto Goissis","","","São Carlos","","Engenharia Biomédica","10/1/2008","3/31/2009"
"Melchior Antonio Momesso","","","Piracaia","","Física","10/1/2008","3/31/2009"
"Irene Karaguilla Ficheman","","","São Paulo","","Engenharia Elétrica","10/1/2008","3/31/2009"
"Ricardo Azevedo Pontes de Carvalho","","","São Paulo","","Medicina","9/1/2008","7/31/2009"
"Ruy Bessa Lopes","","","Limeira","","Recursos Pesqueiros e Engenharia de Pesca","9/1/2008","2/28/2009"
"Samuel de Almeida Prado Tocalino","","","Campinas","","Engenharia Mecânica","9/1/2008","8/31/2010"
"Rui Barbosa de Moraes","","","Praia Grande","","Engenharia Mecânica","9/1/2008","7/31/2009"
"Luciane Lamour Ferreira","","","São Paulo","","Ciência da Computação","8/1/2008","7/31/2010"
"José Luiz Donato","","","Campinas","","Medicina Veterinária","8/1/2008","2/28/2009"
"Sebastião Vagner Arêdes","","","São José dos Campos","","Engenharia Biomédica","8/1/2008","3/31/2009"
"Rafael Vieira de Sousa","","","São Carlos","","Engenharia Sanitária","8/1/2008","1/31/2009"
"Regis Rossi Alves Faria","Felipe dos Santos Pegoraro - Luiz Gustavo Brinholi Peigo - Paula Fabiana Scarpato","","São Paulo","","Engenharia Elétrica","7/1/2008","4/30/2009"
"Arnaldo Ferreira Sima","Arnaldo Ferreira Sima - Marcelo Lima de Paiva - Paulo Henrique Simas","","Cajobi","","Ciência da Computação","7/1/2008","12/31/2008"
"Yupanqui Julho Muñoz","André Luiz Vizine Pereira","","Santos","","","7/1/2008","12/31/2008"
"Luiz Arthur Cury e Silva","","","Cravinhos","","Medicina Veterinária","7/1/2008","12/31/2008"
"Antonio Carlos da Cruz","","","São Paulo","","Engenharia de Materiais e Metalúrgica","7/1/2008","7/31/2009"
"Davi D'Andréa Baccan","","","São José dos Campos","","Ciência da Computação","6/1/2008","2/28/2009"
"Spero Penha Morato","","","São Paulo","","Engenharia Biomédica","6/1/2008","11/30/2010"
"Rosalvo Tiago Ruffino","","","São Carlos","","Engenharia Mecânica","6/1/2008","12/31/2008"
"Rafael Giuliano Pileggi","","","São Paulo","","Engenharia Civil","6/1/2008","3/31/2009"
"Paulo Sergio Fabris de Matos","","","Jundiaí","","Física","6/1/2008","11/30/2008"
"Cynthia Rachid Bydlowski","","","São Paulo","","Zootecnia","6/1/2008","12/31/2008"
"Hirochi Yamamura","","","Santos","","Química","5/1/2008","12/31/2008"
"Claudio Adriano Policastro","","","São Carlos","","Ciência da Computação","5/1/2008","10/31/2008"
"Antônio Francisco de Oliveira","","","Campinas","","Engenharia Agrícola","5/1/2008","10/31/2008"
"Cleyton Fernandes Ferrarini","","","Franca","","Engenharia de Materiais e Metalúrgica","5/1/2008","1/31/2009"
"George Batschinski","","","São José dos Campos","","Ciência da Computação","5/1/2008","10/31/2008"
"Marcelo Del Guerra","Denny Hua Jong","","São Carlos","","Engenharia Mecânica","4/1/2008","9/30/2008"
"Norberto Aranha","","","Araraquara","","Química","4/1/2008","9/30/2008"
"Silvia Almeida Cardoso","","","Ribeirão Preto","","Medicina Veterinária","4/1/2008","3/31/2010"
"Elson Garcia","","","Jacareí","","Engenharia Aeroespacial","4/1/2008","9/30/2008"
"Luciano de Oliveira Neris","","","São Carlos","","Engenharia Agrícola","3/1/2008","10/31/2008"
"Eston Almança dos Santos","","","São Paulo","","Engenharia Elétrica","3/1/2008","8/31/2008"
"Rodrigo Almeida Gonçalves","","","Campinas","","Ciência da Computação","3/1/2008","2/28/2010"
"Marcos Roberto Lourenzoni","","","Ribeirão Preto","","Bioquímica","3/1/2008","2/28/2010"
"Esmeraldo Aparecido Cappelaro","Fernando Mauro Lanças","","São Carlos","","Química","3/1/2008","4/30/2009"
"Jose Maia Dantas","","","Pedreira","","Engenharia de Materiais e Metalúrgica","3/1/2008","2/28/2010"
"Edinara Adelaide Boss","","","Artur Nogueira","","Engenharia Química","3/1/2008","8/31/2008"
"Roxana Teresa Gonzalez Vargas Bozo Moron","","","São Carlos","","Ciência da Computação","2/1/2008","1/31/2010"
"Angelica Megda da Silva","","","São Paulo","","Ciência e Tecnologia de Alimentos","2/1/2008","1/31/2010"
"Carlos Henrique de Mesquita","","","São Paulo","","Engenharia Nuclear","2/1/2008","7/31/2008"
"Regina de Oliveira Moraes Arruda","","","Campinas","","Ciência e Tecnologia de Alimentos","2/1/2008","7/31/2008"
"Marcelo Tadeu Milan","","","Rio Claro","","Engenharia de Materiais e Metalúrgica","2/1/2008","7/31/2008"
"Tiago Henrique Camara De Bem","","","Pirassununga","","Medicina Veterinária","2/1/2008","7/31/2010"
"Lucimara Gaziola de la Torre","Celio Lopes Silva - Eduardo Dantas Casillo Gonçalves - Fabio Cícero de Sá Galetti - Maria Helena Andrade Santana - Rogério Silva Rosada - Thais de Paula Rigoletto","","Campinas","","Engenharia Química","2/1/2008","1/31/2010"
"André Ribeiro Lins de Albuquerque","","","São Carlos","","Ciência da Computação","2/1/2008","1/31/2011"
"Paula Sbaite Duarte dos Santos","","","Campinas","","Engenharia Química","2/1/2008","7/31/2008"
"Kleberson Ricardo de Oliveira Pereira","","","São Paulo","","Engenharia de Minas","2/1/2008","10/31/2008"
"Cybele Lotti","","","São Carlos","","Engenharia de Materiais e Metalúrgica","1/1/2008","10/31/2008"
"Dawy Keyson de Araújo Almeida","","","São Carlos","","Química","12/1/2007","7/31/2008"
"Sonia Maria Zanetti","","","São Carlos","","Engenharia de Materiais e Metalúrgica","12/1/2007","2/28/2011"
"Elzira Maria de Almeida","","","São Carlos","","Bioquímica","12/1/2007","5/31/2008"
"PatrIcia Cruz Bergami-Santos","Celio Lopes Silva - Eduardo Dantas Casillo Gonçalves - Jeanne Blanco de Molfetta - Jose Alexandre Marzagão Barbuto","","São Paulo","","Imunologia","12/1/2007","11/30/2009"
"José Sindi Yamamoto","","","Campinas","","Engenharia Elétrica","11/1/2007","7/31/2010"
